year,round,market,subject,line,prob,actual
2025,1,player_goals,Jai Newcombe,1.0,0.4644464446444644,0
2025,1,player_goals,Jai Newcombe,2.0,0.1288343558282208,0
2025,1,player_marks,Jai Newcombe,4.0,0.7829670329670331,0
2025,1,player_marks,Jai Newcombe,6.0,0.3886059834500318,0
2025,1,player_tackles,Jai Newcombe,3.0,0.7751798561151079,1
2025,1,player_tackles,Jai Newcombe,5.0,0.1458333333333333,0
2025,1,player_disposals,Karl Amon,15.0,0.8310626702997275,1
2025,1,player_disposals,Karl Amon,20.0,0.4995586937334511,1
2025,1,player_disposals,Karl Amon,25.0,0.2135350987810004,1
2025,1,player_goals,Karl Amon,1.0,0.1922723091076356,0
2025,1,player_marks,Karl Amon,4.0,0.7943067033976124,1
2025,1,player_marks,Karl Amon,6.0,0.3886059834500318,1
2025,1,player_tackles,Karl Amon,3.0,0.1458333333333333,0
2025,1,player_disposals,James Sicily,15.0,0.8013698630136986,1
2025,1,player_disposals,James Sicily,20.0,0.4840478564307078,1
2025,1,player_disposals,James Sicily,25.0,0.2135350987810004,0
2025,1,player_goals,James Sicily,1.0,0.4473567303420702,0
2025,1,player_goals,James Sicily,2.0,0.1180795847750864,0
2025,1,player_marks,James Sicily,4.0,0.9012658227848102,1
2025,1,player_marks,James Sicily,6.0,0.7389975550122252,1
2025,1,player_tackles,James Sicily,3.0,0.0626334519572953,0
2025,1,player_disposals,Massimo D'Ambrosio,15.0,0.8986409966024915,0
2025,1,player_disposals,Massimo D'Ambrosio,20.0,0.6495238095238095,0
2025,1,player_disposals,Massimo D'Ambrosio,25.0,0.3353242320819113,0
2025,1,player_goals,Massimo D'Ambrosio,1.0,0.4058823529411764,1
2025,1,player_goals,Massimo D'Ambrosio,2.0,0.1018766756032171,0
2025,1,player_marks,Massimo D'Ambrosio,4.0,0.8704663212435233,0
2025,1,player_marks,Massimo D'Ambrosio,6.0,0.5357757560855667,0
2025,1,player_tackles,Massimo D'Ambrosio,3.0,0.2029537875178656,0
2025,1,player_disposals,Dylan Moore,15.0,0.7209876543209874,1
2025,1,player_disposals,Dylan Moore,20.0,0.3836553945249599,1
2025,1,player_disposals,Dylan Moore,25.0,0.16821602478973,0
2025,1,player_goals,Dylan Moore,1.0,0.7205882352941176,1
2025,1,player_goals,Dylan Moore,2.0,0.3315240083507306,1
2025,1,player_marks,Dylan Moore,4.0,0.8704663212435233,1
2025,1,player_marks,Dylan Moore,6.0,0.4758620689655172,1
2025,1,player_tackles,Dylan Moore,3.0,0.6247582205029011,0
2025,1,player_tackles,Dylan Moore,5.0,0.0884814667198087,0
2025,1,player_disposals,Will Day,15.0,0.4064070351758794,1
2025,1,player_disposals,Will Day,20.0,0.150253807106599,0
2025,1,player_goals,Will Day,1.0,0.2332822868810617,1
2025,1,player_marks,Will Day,4.0,0.2038369304556354,1
2025,1,player_tackles,Will Day,3.0,0.3282747603833866,1
2025,1,player_disposals,Conor Nash,15.0,0.6495238095238095,1
2025,1,player_disposals,Conor Nash,20.0,0.2836943441636582,1
2025,1,player_disposals,Conor Nash,25.0,0.1047355686138956,0
2025,1,player_goals,Conor Nash,1.0,0.1499522445081184,0
